County,Pct_Electricity,Pct_Pressure_Lamp,Pct_Lantern,Pct_Tin_Lamp,Pct_Gas_Lamp,Pct_Fuel_Wood,Pct_Solar,Pct_Other_Lighting,Pct_Traditional,Num_Households_with_Electricity,Num_Households_with_Pressure_Lamp,Num_Households_with_Lantern,Num_Households_with_Tin_Lamp,Num_Households_with_Gas_Lamp,Num_Households_with_Fuel_Wood,Num_Households_with_Solar,Num_Households_with_Other,Num_Households_with_Traditional,Households,Longitude,Latitude
Baringo,0.0956,0.0039,0.393,0.201,0.0072,0.0172,0.2778,0.0043,0.9044,10583,437,43488,22238,796,1902,30734,471,100066,110649,35.952537,0.512912
Bomet,0.0432,0.0033,0.6478,0.2598,0.0065,0.0283,0.0083,0.0029,0.9569,7552,581,113311,45434,1135,4958,1444,499,167362,174914,35.278005,-0.690131
Bungoma,0.0451,0.005,0.2668,0.6651,0.0063,0.0045,0.0055,0.0017,0.9549,12219,1351,72256,180120,1704,1223,1493,458,258605,270824,34.672536,0.737046
Busia,0.06,0.0032,0.2158,0.7064,0.0046,0.0041,0.0037,0.0022,0.94,9253,494,33283,108949,709,633,566,338,144972,154225,34.210571,0.428414
Elgeyo Marakwet,0.0715,0.0028,0.4683,0.2823,0.0058,0.0149,0.1514,0.0029,0.9284,5547,220,36321,21891,449,1155,11744,228,72008,77555,35.564093,0.806011
Embu,0.1489,0.0075,0.3532,0.4369,0.0059,0.0343,0.0085,0.0048,0.8511,19611,992,46512,57535,778,4515,1114,626,112072,131683,37.653906,-0.5982
Garissa,0.1157,0.0056,0.2056,0.3209,0.1752,0.0037,0.104,0.0692,0.8842,11405,552,20272,31642,17277,364,10251,6827,87185,98590,40.408457,-0.564679
Homa Bay,0.0332,0.0048,0.2123,0.7294,0.0052,0.0101,0.004,0.0011,0.9669,6850,980,43788,150440,1067,2081,823,226,199405,206255,34.411083,-0.640985
Isiolo,0.1851,0.0049,0.3113,0.1951,0.0249,0.0137,0.2325,0.0324,0.8148,5800,154,9751,6113,781,429,7283,1015,25526,31326,38.614718,0.949302
Kajiado,0.3983,0.0082,0.189,0.3576,0.0041,0.0105,0.0219,0.0103,0.6016,69098,1430,32788,62031,706,1827,3804,1780,104366,173464,36.980268,-2.221971
